"locality","decimallat","decimallon","rec_gbif","species"
"Calle 3, Leticia, Amazonas, CO (-4.222, -69.946)",-4.222074,-69.9459,13,13
"Caserio El Vergel",-3.851024,-70.21787,13,13
"Aeropuerto Internacional Alfredo Vásquez Cobo",-4.216086,-69.94154,13,13
"Amazon (Santa Sofia - Leticia)",-4.106816,-70.03808,13,13
"sector 3 islas",-1.261564,-70.99405,12,4
"El Caimo, cerca a la Quebrada El Caimo",-4.0675,-69.93267,12,4
"Reserva Natural Calanoa",-3.827028,-70.248085,12,4
"Chagra Panduro_Bacaba",-3.807797,-70.25575,12,4
"Chorro del Sol",-1.038728,-71.396805,12,4
"Miriti Parana",-0.81078,-71.11274,12,6
"-4.116x-69.952 - may. 14, 2016 7:39 PM",-4.116251,-69.95224,12,6
"Quebrada Tucuchira, 20 mi NW Leticia",-4.033333,-70.133333,12,9
NULL,-3.862253,-70.247795,12,11
NULL,-3.7702,-70.38306,12,11
NULL,-3.802997,-70.421342,12,11
"Manguare",-4.190073,-69.92867,12,11
NULL,-3.445399,-70.14496,12,11
"Humedal Cuadra Mocha",-4.207104,-69.942505,12,12
"Leticia - Amazonas, CO (-4,221, -69,941)",-4.22102,-69.94074,12,12
"COLOMBIA: Amazonas; near Quebrada Tucuchira",-4.011951,-70.111465,12,12
"Tabatinga, Parque Avenida da Amizade, Amazonas, BR (-4.224, -69.936)",-4.224113,-69.93574,12,12
"911018, Puerto Nariño CO-Amazonas -3.77408, -70.37665",-3.774081,-70.37665,12,12
"6 mar. 2020 17:20--2.893, -69.742",-2.893281,-69.74228,12,12
"Isla de la Fantasía - 74masl - Amazon River, Leticia CO-Amazonas (-4.2170,-69.9477)",-4.217037,-69.94767,12,12
"Leticia, Colombia",-4.205014,-69.936386,12,12
"Mocagua",-3.826874,-70.241714,12,12
"Hotel Amazonas On Vacation",-4.134491,-70.01685,12,12
"Finca Acapu",-4.102993,-69.97506,12,12
"Parque Santander",-4.212632,-69.943,12,12
"Parque Santander leticia Colombia",-4.212771,-69.94319,12,12
"Puerto Narino",-3.780017,-70.36587,12,12
"Carretera para llegar al río Tacana",-4.137994,-69.938934,12,12
"Carrera 12 7-60, Leticia CO-Amazonas -4.21613, -69.94463",-4.216128,-69.94463,12,12
NULL,-4.212278,-69.949583,11,8
"Ciudad de Piedra",-0.6299,-72.4131,11,9
"Sendero ecológico On Vacation",-4.132718,-70.016464,11,11
"La Primavera (-3,94, -70,173)",-3.940447,-70.17292,11,11
"Playa Nueva (-3,794, -70,369)",-3.794321,-70.369194,11,11
"Isla Mocagua",-3.836437,-70.25159,11,11
"Ramal Guayaberal Rio Amazonas al frente de C.I Vista Alegre",-3.811437,-70.31251,11,11
"1431 Carrera 10, Amazonas, CO (-4,208, -69,943)",-4.207901,-69.94347,11,11
"Bosque inundable lago a Q. Yahuarcaca",-4.196543,-69.94975,11,11
"Lago salida Yahuarcaca",-4.20147,-69.95068,11,11
"Mirador Puerto Nariño",-3.779799,-70.365654,11,11
"7-87 Calle 6, Leticia, Amazonas, CO (-4,217, -69,938)",-4.216804,-69.9381,11,11
"Puerto Nariño",-3.788905,-70.35624,11,11
"Ruta Mocagua-Leticia.",-3.860856,-70.213234,11,11
"Maloca - Tacana Leticia Amazonas",-4.123301,-69.91967,11,11
"CR 9 con Calle 10, Leticia, Amazonas, CO",-4.212927,-69.94102,11,11
"Chimbote Forest",-3.860028,-70.47348,11,11
"San José del Río",-4.115642,-70.00819,11,11
"Km 9. Comunidad Monillamena Finca Pérez",-4.106405,-69.922455,10,5
"Tanimboca",-4.117432,-69.95222,10,5
"Puerto Nariño",-3.779794,-70.3631,10,5
"Amazonas--Santa Teresa",-3.749436,-70.42379,10,5
"Almendro Calle 8 Con Cr 9 Leticia",-4.215298,-69.94102,10,7
"Amazon River",-3.964613,-70.16835,10,8
"CO-Amazonas-Leticia (-4,1931,-69,9521)",-4.193112,-69.952065,10,10
"Amazonas, CO Varillal, S 04°00'511"" W 069°53'691""",-3.827381,-69.86473,10,10
"Reserva Natural Agapé",-4.1315,-69.95419,10,10
"Amazonas, CO (-4.003, -70.152)",-4.003077,-70.151505,10,10
"Leticia Km 9.5",-4.139852,-69.941376,10,10
"Carrera 10, norte de SINAC y sur del aeropuerto",-4.204841,-69.944,10,10
NULL,-3.783745,-70.385712,10,10
"Isla Colombia-Perú (Frente a Puerto Nariño)",-3.800616,-70.35221,10,10
"R.I Nazaret, Leticia",-4.101503,-70.04515,10,10
"Unnamed Road, Amazonas, CO (-3.783, -70.365)",-3.783329,-70.36537,10,10
"San Martín de Amacayacu",-3.7784,-70.2992,10,10
"Camino a Arara",-4.069755,-70.06003,10,10
"Navegando a Tarapoto, Amazonas, CO (-3.788, -70.392)",-3.788279,-70.3918,10,10
"Auto selected -3.84196, -70.23584",-3.841964,-70.23584,10,10
"rocas en el río",-0.840288,-71.80722,9,3
"915017, Puerto Santander CO-Amazonas (-0.6584,-72.0828)",-0.658378,-72.08275,9,3
"PNN Amacayacu, 2 kilometros al norte del centro de visitantes del parque",-3.399444,-70.121111,9,4
"Q. Matamatá_cerca a cabaña principal",-3.818353,-70.26091,9,5
"Bosque de Tapir - Puerto Santander, Amazonas",-0.6248,-72.3972,9,5
"Quebrada Tucuchira, ca. 20 mi NW of Leticia",-4.033333,-70.133333,9,6
"Parcela Permanente Amacayacu",-3.809172,-70.26786,9,8
"Tarapacá, Amazonas Department. Campamento Doña Flor",-2.6134,-69.8452,9,8
"Isla Nueva Mocagua, frente CVY",-3.821804,-70.260925,9,8
"#10-28 Carrera 9, Leticia, Amazonas, CO (-4,213, -69,941)",-4.212746,-69.94095,9,9
"isla de los micos",-4.041598,-70.101494,9,9
"CO-Amazonas-Puerto Nariño (-3,7834,-70,3650)",-3.783378,-70.36504,9,9
"Río Amacayacu",-3.736365,-70.31481,9,9
"Varzea lago salida Yahuarcaca",-4.198911,-69.95088,9,9
"Tapana Aru u Colombia",-3.63565,-69.95984,9,9
"(-4,2245,-69,9376)",-4.224474,-69.93761,9,9
"Amazon River Colombia",-3.910516,-70.18371,9,9
"Near Leticia, Colombia",-4.120772,-70.02759,9,9
"(-3.7587,-70.4057) Rio Loretoyacu",-3.758714,-70.40565,9,9
"SENA los lagos",-4.200388,-69.946754,9,9
"Unnamed Road, Amazonas, CO (-3.782, -70.367)",-3.782032,-70.36662,9,9
"Leticia Km 8",-4.149469,-69.93524,9,9
"Unnamed Road, Amazonas, CO (-3.782, -70.363)",-3.781593,-70.362656,9,9
"Mocagua",-3.839202,-70.21633,9,9
"Carrera 8 9-100–9-2, Leticia CO-Amazonas (-4.2132,-69.9400)",-4.213206,-69.94001,9,9
"Furo_Mocagua a comunidad",-3.821215,-70.25579,8,4
"La Cholita",-4.190627,-69.947556,8,4
"Comunidad Mocagua",-3.822766,-70.25469,8,4
"Av internacional_Carrera 6, Leticia, Amazonas, CO (-4,213, -69,938)",-4.212655,-69.93786,8,4
"Km 9 Comunidad Monillamena",-4.118981,-69.9336,8,4
NULL,-1.44134,-72.796287,8,5
"IMANI, bosque secundario de Imani",-4.141111,-70.0,8,6
"Reserva Biológica El Zafire, Leticia, Amazonas",-4.005333,-69.89875,8,7
"Malecon Leticia",-4.220623,-69.946495,8,8
"CO, Rio Amazonas near Mocagua (-3.8180,-70.2793)",-3.818014,-70.27933,8,8
"Barrio Costa Rica, Amazonas, CO (-4,203, -69,936)",-4.202627,-69.936134,8,8
"Narrow tributary of Rio Caqueta",-0.596847,-72.80584,8,8
"Puerto Nariño",-3.769579,-70.38235,8,8
"Amazonas--San Martin",-3.77688,-70.30279,8,8
"Amazonas",-4.188412,-69.96455,8,8
"Mocagua",-3.835652,-70.21748,8,8
"9101 Calle 9, Leticia, Amazonas, CO (-4.214, -69.942)",-4.214146,-69.94193,8,8
"vida Nazareth, Leticia",-4.080216,-70.00519,8,8
"Unnamed Road, Amazonas, CO (-4.127, -69.948)",-4.126647,-69.94757,8,8
"Isla Santa Sofia Ii, 20 mi NW Leticia",-4.033333,-70.133333,7,5
"Parque Orellana, Leticia",-4.216248,-69.94317,7,5
"Puerto Nariño, Amazonas",-3.7733,-70.3819,7,5
"Río Amazonas, orilla pantano CO (-3,816, -70,287)",-3.815725,-70.28658,7,6
"Amazonas, La Pedrera, Resguardo Indígena de Camaritagua",-1.3819,-69.6459,7,6
NULL,-3.787328,-70.35727,7,7
"Rio Tanama vía Monilla Amaña Rd",-4.115554,-69.92387,7,7
"Entrada Tarapoto",-3.773846,-70.38167,7,7
"Calanoa Mocagua -3.827x-70.248 - 13 Jan 2017 10:30 am",-3.827084,-70.247986,7,7
"Laguna Miuá",-3.803622,-70.57634,7,7
"Ciudad Leticia---Alrededores",-4.217514,-69.94158,7,7
"Leticia",-4.15,-69.949997,7,7
"Puerto Victoria Regia",-4.210805,-69.946686,7,7
"Ruta Amacayacu-isla de Mocagua",-3.827576,-70.255264,7,7
"Tres Esquinas-Huapapa (CO side)",-2.453664,-70.478325,7,7
"Hotel Amazon On Vacation",-4.134391,-70.01685,7,7
"Aeropuerto La Chorrera",-1.455813,-72.80416,7,7
"Decamerón decalodge Ticuns",-4.218057,-69.942986,7,7
"Comunidad Monilla(Amina?) Mena",-4.125769,-69.92571,7,7
"PNN Amacayacu, Quebrada Rimate, afluente del Rio Catuche",-3.5,-70.1,7,7
"Calle 8, Leticia, Amazonas, CO (-4,215, -69,938)",-4.214704,-69.93797,7,7
"Carrera 12, Leticia CO-Amazonas (-4.2168,-69.9453)",-4.2168,-69.94529,7,7
"3-26 Carrera 11, Leticia, Amazonas, CO (-4.221, -69.943)",-4.221395,-69.94304,7,7
"Puerto Nariño",-3.779895,-70.36386,7,7
"Fin de la 12 Leticia, Amazonas,",-4.211397,-69.94451,7,7
"Puerto Narino",-3.780328,-70.37894,7,7
"Auto selected -3.84401, -70.22528",-3.844009,-70.22528,7,7
"Parque Santander",-4.211556,-69.943344,7,7
"Amazonas, S. Bank Rio Solimoes, 13.5 km E Sao Paulo de Olivenca",-3.45,-69.82,6,1
"Bocatoma_Quebrada_Yahuarcaca",-4.190164,-69.950935,6,2
"Río Amazonas",-3.8297,-70.25823,6,3
"9 may. 2020 14:06--4.221, -69.939",-4.220998,-69.938614,6,3
"Mocagua_Cementerio",-3.825966,-70.24937,6,3
"Credibambu_Calle 7_Cra 7",-4.215914,-69.93801,6,3
"Isla Mocagua_cerca Lago Pan",-3.83812,-70.24683,6,3
"Instituto Amazónico de Investigaciones, IMANI",-4.192061,-69.940056,6,4
"Leticia",-4.204243,-69.939308,6,4
"Leticia, Leticia, Amazonas",-4.2172,-69.9427,6,4
"Leticia, Amazonas Department, Campamento Quebrada Lorena, Parque Nacional Amacayacu",-3.068,-69.9953,6,5
NULL,-3.848505,-70.253853,6,5
"Refugio Makuruma",-4.17447,-69.95366,6,6
"Amazonas, CO (-2,698, -69,882)",-2.697694,-69.88166,6,6
"Carrera 12, Leticia CO-Amazonas -4.21630, -69.94523",-4.216302,-69.94523,6,6
"Ruta Leticia-Amacayacu.",-4.023403,-70.12881,6,6
"7-87 Calle 6, Leticia, Amazonas, CO (-4.217, -69.938)",-4.21691,-69.93813,6,6
"Los Lagos",-4.188947,-69.94478,6,6
"680 Carrera 11, Leticia, Amazonas, CO (-4.217, -69.943)",-4.217256,-69.942535,6,6
"Amazon River near Puerto Narino",-3.806277,-70.31945,6,6
"Camino bosque inundable, Amz",-3.809357,-70.26371,6,6
"La Milagrosa, Leticia",-4.18153,-69.97648,6,6
"On Vacation Hotel",-4.160672,-69.97497,6,6
"Amazonas, CO (-4.201, -69.943)",-4.200789,-69.94326,6,6
"Anm puerto santander",-0.622115,-72.381836,6,6
"Fundación Aotus",-4.202643,-69.94135,6,6
"Calle 7 9-72, Leticia CO-Amazonas -4.21611, -69.94125",-4.216114,-69.94125,6,6
"Rio Amazonas, Leticia",-4.226672,-69.94935,6,6
"Pink Dolphin Site",-3.991671,-70.16899,6,6
"Isla Ronda-Amazonas, CO",-4.174337,-69.98773,6,6
"Unnamed Road, Leticia, Amazonas, CO (-4.203, -69.934)",-4.202508,-69.934494,6,6
"Leticia-Amazon River",-4.215517,-69.94875,6,6
"Santa Rosa",-4.213612,-69.964676,6,6
"Letecia",-4.211736,-69.939995,6,6
"Universidad de Colombia, Leticia",-4.19346,-69.940475,6,6
"KM 7",-4.149049,-69.93392,6,6
"Victoria, Leticia",-4.143068,-69.94069,6,6
"Leticia",-4.197818,-69.95722,6,6
"Quebrada Yahuarcaca",-4.160298,-69.94699,6,6
"Sant Leticia",-4.15,-69.95,5,2
"Tepui, Puerto Santander, Amazonas",-0.6299,-72.4131,5,2
"Reserva Forestal del Río Calderón, Reserva Forestal del Río Calderón. Estación Biológica El Zafire",-3.9875,-69.902778,5,3
"Isla La nueva, Mocagua, Puerto Nariño, Amazonas.",-3.8307,-70.245,5,3
NULL,-1.44134,-72.79682,5,3
NULL,-1.441077,-72.794331,5,3
"Nazaret",-4.10101,-70.041701,5,4
"Comunidad indígena Munilla amena, km 9 carretera Leticia-Tarapacá",-4.136667,-69.919444,5,4
"Laguna El Correo",-3.7753,-70.3887,5,4
"San Rafael, El Encanto, Amazonas",-1.7218,-73.2308,5,4
"Los Lagos",-4.172614,-69.95598,5,5
NULL,-4.214237,-69.946143,5,5
"Km 7+400 Vía Leticia-Tarapacá",-4.175514,-69.941444,5,5
"Hotel Malokamazonas",-4.214535,-69.936455,5,5
"Km 9.5, Reserva Nainekumaw, Amazonas, CO (-4,133, -69,943)",-4.133078,-69.94298,5,5
"Localidad desconocida - (-3,825, -70,252)",-3.824543,-70.25152,5,5
"Amazonas, CO (-4.166, -69.979)",-4.166462,-69.978745,5,5
NULL,-4.203165,-69.935907,5,5
"Km 5 Leticia-Tarapacá",-4.175514,-69.941444,5,5
"Mocagua, orilla playa escuela",-3.822653,-70.25873,5,5
"Leticia, Amazonas",-4.0366,-69.9903,5,5
"Amazone Colomba",-3.791785,-70.52976,5,5
"(-3.7981,-70.4176) Sendero Capinuri",-3.79811,-70.41761,5,5
"5-49 Calle 8, Leticia, Amazonas, CO (-4.214, -69.937)",-4.214497,-69.93701,5,5
"Leticia, Amazonas",-4.199247,-69.93785,5,5
"kilometro 9",-4.123217,-69.94913,5,5
"Cano Aduche",-0.662961,-72.30864,5,5
NULL,-3.803233,-70.404847,5,5
"Río Loretoyacu",-3.768976,-70.38943,5,5
"Leticia, Amazonas",-4.2026,-69.9418,5,5
"Tres Esquinas (CO side of river)",-2.478489,-70.595894,5,5
"Comunidad Indígena_Zaragoza (poblado)",-3.918955,-70.17953,5,5
"Primary forest",-4.001042,-70.1184,5,5
"Isla Fantasía , Leticia, Amazonas, CO (-4,217, -69,941)",-4.217249,-69.94108,5,5
"Ciudad Perdida",-0.632549,-72.42767,5,5
"CO-Amazonas (-4,1264,-69,9479)",-4.126434,-69.94792,5,5
"Quebrada Tucuchira, ca. 20 mi NW Leticia",-4.033333,-70.133333,5,5
"(-4.1052,-70.0525)",-4.105182,-70.05248,4,1
"Amazonas, Leticia, Reserva Biológica El Zafire",-4.005333,-69.89875,4,1
"Isla de Santa Sofia, Leticia, Amazonas, Colombia",-3.9054,-70.199,4,2
"Calle10 Barrio_Centro, Leticia, Amazonas, CO (-4,212, -69,939)",-4.212288,-69.93919,4,2
"Siete de Agosto, Comunidad",-3.823103,-70.63482,4,2
NULL,-1.441452,-72.790915,4,2
"Barrio Iane_entrada",-4.20965,-69.93515,4,2
"calle 6 barrio florida",-4.217911,-69.94071,4,2
"Puerto Narino Bridge",-3.779796,-70.36805,4,2
"Comunidad indígena Munilla amena",-4.136667,-69.919444,4,3
NULL,-1.441254,-72.793301,4,3
"Reserva Forestal del río Calderón, Estación Biológica El Zafire",-3.9875,-69.902778,4,3
"Colombia - Amazonas",-3.774782,-70.301782,4,3
"20 mi NW Leticia Isla Santa Sofia",-4.018889,-70.139167,4,3
"amacayacu np",-3.334158,-70.000244,4,3
"Colombia - Amazonas",-3.776452,-70.301085,4,3
"Colombia - Amazonas",-3.770307,-70.312457,4,3
"Puerto Nariño, Amazonas",-3.7865,-70.3015,4,4
NULL,-3.817153,-70.259528,4,4
"Rio Amazonas--Puerto Narino",-3.807017,-70.33271,4,4
"Leticia, Leticia, Amazonas",-4.2032,-69.9359,4,4
NULL,-3.826983,-70.247947,4,4
"El Encanto, El Encanto, Amazonas",-1.7648,-73.1974,4,4
"FromTres Esquinas (120 Km NW of Tarapacá) to ASOPROMATA (30km NW of Tarapacá)",-2.618,-70.1206,4,4
"Aeropuerto Internacional Vásquez Cobo, Leticia",-4.198358,-69.94261,4,4
"Amazonas, CO (-3,819, -70,277)",-3.819445,-70.27683,4,4
"Amazon River near Mocagua",-3.820494,-70.27808,4,4
"Colombia - Amazonas",-3.808932,-70.42408,4,4
"Caño El Ayo, PNN Río Puré",-1.593383,-69.49651,4,4
"Hotel On Vacation Amazon",-4.134391,-70.01685,4,4
"Río Amazonas (desde desembocadura Q_Matamata_a_Isla_Zaragocilla",-3.852475,-70.22145,4,4
"Pto santander to canyon",-0.619553,-72.38713,4,4
"Comunidad Indígena Palmeras",-3.810645,-70.29757,4,4
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire, Cerca al salado",-3.9875,-69.902778,4,4
"Mahatu Jungle Hostel",-4.214301,-69.933556,4,4
NULL,-4.213659,-69.950402,4,4
"Leticia, Amazonas",-4.0952,-69.961,4,4
"Tarapacá pueblo",-2.890564,-69.73809,4,4
"Leticia, Leticia, Amazonas",-4.2147,-69.9486,4,4
"Isla Mocagua",-3.87042,-70.23016,4,4
"Parque Amacayacu",-3.821829,-70.260765,4,4
"Entrada pista Aeropuerto Leticia, Amazonas",-4.194666,-69.94166,4,4
"Chagras_Rastrojos Mocagua",-3.821795,-70.2513,3,1
"vía colegio Camilo Torres",-4.168811,-69.95761,3,1
"km 19 vía Nazareth",-4.082362,-70.00872,3,1
"Colombia - Amazonas",-3.789235,-70.373096,3,2
"Reserva Forestal del Río Calderón, Reserva Forestal del Río Calderón, Estación Biológica El Zafire",-4.005833,-69.898611,3,2
"Reserva Forestal del Río Calderón, Reserva Forestal del Río Calderón, Estación Biológica El Zafire",-4.005,-69.9125,3,2
NULL,-4.212,-69.95,3,2
"Mocagua island, Leticia, Amazonas, Colombia.",-3.8385,-70.2519,3,2
"Rio Amazonas, Leticia",-4.211799,-69.95312,3,2
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-3.9875,-69.902778,3,2
"Colombia - Amazonas",-3.782897,-70.303917,3,2
"Rio Amazonas; Isla Mocagua",-3.85,-70.23,3,2
"Leticia",-4.212,-69.95,3,2
"Carretera a Leticia",-4.113217,-69.95862,3,3
"Riverside slough",-3.895768,-70.18719,3,3
NULL,-4.160802,-69.966084,3,3
"Quebrada Matamatá, San Martín de Amacayacu, Amazonas, Colombia.",-3.7784,-70.2992,3,3
NULL,-2.42803,-72.451851,3,3
NULL,-2.432146,-72.429945,3,3
"Amazonas, CO (-4.173, -69.988)",-4.173425,-69.98815,3,3
"Leticia",-4.205948,-69.93904,3,3
NULL,-4.133187,-70.016018,3,3
"CO-Amazonas-Amazon River (-4.0382,-70.1214)",-4.038062,-70.12101,3,3
"81 Carrera 9, Leticia, Amazonas, CO (-4,215, -69,941)",-4.215191,-69.940674,3,3
"Tarapacá, Amazonas Department. Campamento Quebrada Bejuco",-3.1447,-70.1492,3,3
"Auto selected -4.02981, -70.11852",-4.029806,-70.11852,3,3
"Rio Loretoyacu between San Juan de Soco and Puerto Rico",-3.744956,-70.49306,3,3
"Carrera 5, Puerto Nariño CO-Amazonas (-3.7804,-70.3647)",-3.780408,-70.36473,3,3
"Puerto Alegria",-1.005833,-74.014725,3,3
"Colombia - Amazonas",-3.799597,-70.405369,3,3
NULL,-4.06569,-69.9796,3,3
NULL,-3.824512,-70.25988,3,3
NULL,-3.802991,-70.421342,3,3
"Rio Loretoyacu between Puerto Nariño and San Juan de Soco",-3.752193,-70.42062,3,3
NULL,-3.849417,-70.559781,3,3
"Puerto",-4.216062,-69.94723,3,3
"Afacinte",-4.198409,-69.934944,3,3
NULL,-4.208112,-69.932547,3,3
"Km 7.5 borde de vía",-4.147102,-69.93766,3,3
"Reserva Forestal del Río Calderón, Reserva Forestal del Río Calderón. Estación Biológica El Zafire",-3.9875,-69.902833,3,3
NULL,-4.214722,-69.948611,3,3
"Tolima, Melgar",-0.833333,-72.3,3,3
"Comunidad indígena Munilla amena, al lado del río Tacana",-4.136667,-69.919444,3,3
"sept 16 miercoles Leticia",-4.216271,-69.94249,3,3
NULL,-3.775561,-70.302751,3,3
NULL,-4.020906,-70.125911,3,3
"2348-2500 Avenida da Amizade, Amazonas, BR (-4.22, -69.935)",-4.220429,-69.93549,3,3
"Puerto Nariño",-3.781223,-70.365685,3,3
"PNN Amacayacu, Comunidad San Martín",-4.215278,-69.940556,3,3
NULL,-1.441227,-72.791085,3,3
NULL,-4.208734,-69.933817,3,3
"Isla de Santa Sofia Ii, 20 mi NW of Leticia",-4.033333,-70.133333,3,3
NULL,-3.788701,-70.30764,3,3
"CO, Tributary (-3.8026,-70.3048)",-3.802626,-70.3048,3,3
"Barrio San Martin",-4.207376,-69.93746,3,3
"Leticia",-4.206208,-69.943924,3,3
"Puerto Nariño, Amazonas",-3.789445,-70.353874,3,3
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-4.005,-69.9125,3,3
"Hitoma alrededores",-4.141508,-69.92296,3,3
"Mocagua island, Leticia, Amazonas Department",-3.8385,-70.2519,3,3
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-4.005833,-69.898611,3,3
"Muelle de Leticia (malecón).",-4.215724,-69.94501,3,3
"sena lagos",-4.205094,-69.94932,3,3
"la chorrera",-1.443588,-72.79464,2,1
"7-1 Carrera 10, Leticia, Amazonas, CO (-4,216, -69,942)",-4.216071,-69.94192,2,1
NULL,-1.441158,-72.793347,2,1
"Leticia Centro A 1 Cuadra Parque De Los Loros (-4.211, -69.943)",-4.210747,-69.9429,2,1
"Sena Los Lagos",-4.199276,-69.94697,2,1
"Colombia - Amazonas",-3.757118,-70.305634,2,1
NULL,-3.797045,-70.412099,2,1
"Colombia - Amazonas",-3.772941,-70.312135,2,1
"Km 8, borde de vía",-4.144912,-69.939964,2,1
"Colombia - Amazonas",-3.775532,-70.37962,2,1
"San Martin, Rio Amacayacu",-3.6,-70.366667,2,1
"Colombia - Amazonas",-3.782405,-70.36638,2,1
"Colombia - Amazonas",-3.783233,-70.387816,2,1
NULL,-3.783026,-70.330037,2,1
"Comunidad El Vergel",-3.847917,-70.21996,2,1
"Colombia - Amazonas",-3.796257,-70.345545,2,1
"Isla Fantasía_Frente Malecón",-4.216218,-69.94573,2,1
"Colombia - Amazonas",-3.798765,-70.404422,2,1
"Colombia - Amazonas",-3.800796,-70.420732,2,1
"Colombia - Amazonas",-3.80101,-70.304346,2,1
"Barrio José María Hernández-Quebrada Simón Bolivar",-4.206641,-69.9398,2,1
"Colombia - Amazonas",-4.216288,-69.945381,2,1
"Colombia - Amazonas",-4.219237,-69.945388,2,1
"Corregimiento La Pedrera, sector La Pista",-1.320389,-69.581417,2,1
"Cacao Island",-3.869234,-70.26578,2,1
"Calanoa Natural Reserve",-3.8187,-70.228,2,1
"Corregimiento La Pedrera, sector Comunidad Camaritagua",-1.328444,-69.590194,2,1
"Isla de Santa Sofia Ii, C.20 mi NW Leticia",-4.033333,-70.133333,2,1
"Comunidad Mocagua_loma cancha grande",-3.823949,-70.25414,2,1
NULL,-1.441426,-72.796756,2,1
"Reserva Natural Selva, Leticia, Amazonas.",-4.1237,-69.9442,2,2
"Puerto de Leticia",-4.215713,-69.945015,2,2
"Corregimiento La Pedrera, sector Comunidad Camaritagua",-1.327833,-69.589917,2,2
"CO-Amazonas (-4,0787,-69,9996)",-4.078717,-69.99956,2,2
NULL,-4.15,-69.95,2,2
NULL,-3.781871,-70.373804,2,2
NULL,-1.440884,-72.792657,2,2
"Leticia Colombia",-4.210838,-69.94664,2,2
NULL,-2.410995,-72.486865,2,2
NULL,-3.789828,-70.397658,2,2
NULL,-2.389831,-72.640616,2,2
NULL,-4.212727,-69.942975,2,2
"LOCNM: Leticia",-4.15,-69.95,2,2
"Santa Sofía, borde de río",-4.02188,-70.12445,2,2
"Colombia - Amazonas",-3.77339,-70.380092,2,2
"Km 7",-4.152026,-69.936516,2,2
NULL,-4.21753,-69.941417,2,2
"Leticia, Amazonas",-4.0512,-70.0745,2,2
"Amazonas--Macedonia",-3.883455,-70.19496,2,2
NULL,-3.800876,-70.328327,2,2
"a 9-137 Calle 8, Leticia, Amazonas, CO (-4,215, -69,941)",-4.215404,-69.94116,2,2
"Amazon River north of Leticia",-4.100918,-70.049644,2,2
"Amazon River between Palmeras and Puerto Nariño",-3.812101,-70.302246,2,2
"Sendero Mirador Puerto Leticia",-4.2148,-69.945114,2,2
"Aeropuerto Vasquez Cobo",-4.189349,-69.940445,2,2
"Aeropuerto Vasquez Cobo",-4.189726,-69.94056,2,2
"Reserva Biológica El Zafire, al lado de un caño",-4.005278,-69.898889,2,2
"Río Amacayacu, Amazonas, CO (-3,784, -70,307)",-3.784198,-70.30667,2,2
"Puerto Narino",-3.789741,-70.35581,2,2
"leticia",-4.209379,-69.93609,2,2
"19 may. 2020 1:08 p. m.--4.215, -69.937",-4.214511,-69.936935,2,2
"Reserva Natural De Ley Segunda, El Calderón, CO (-3,949, -69,943)",-3.949054,-69.942856,2,2
"Laguna Tarapoto, Puerto Nariño, Amazonas",-3.8013,-70.4084,2,2
"PSP3",-0.6382,-72.3624,2,2
NULL,-3.772705,-70.381422,2,2
"poor-soil forest next to Ciudad de Piedra",-0.623461,-72.400406,2,2
NULL,-3.774018,-70.302694,2,2
"Leticia waterfront, Colombia",-4.221909,-69.94624,2,2
"PNN Amacayacu",-3.399444,-70.121111,2,2
"Colombia - Amazonas",-3.805507,-70.316534,2,2
"Lagos de Yahuarcaca, Leticia, Amazonas",-4.1192,-69.9843,2,2
NULL,-3.77618,-70.377803,2,2
"Leticia",-4.213103,-69.9492,2,2
"El Puerto, Leticia",-4.220464,-69.94673,2,2
"Parque Santander, Leticia",-4.212632,-69.943,2,2
"Isla Fantasía, Leticia, Amazonas",-4.2018,-69.9597,2,2
"Avenida da Amizade, BR",-4.223433,-69.93617,2,2
"Colombia - Amazonas",-3.801225,-70.306835,2,2
"Colombia - Amazonas",-3.799512,-70.335159,2,2
"Rio Loretoyacu between Puerto Rico and 12 de Octubre",-3.734014,-70.520454,2,2
"Rio Loretoyacu between Puerto Rico and San Pedro de Tipisca",-3.711638,-70.56101,2,2
"5-54 Calle 8, Leticia, Amazonas, CO (-4,215, -69,937)",-4.214583,-69.93697,2,2
"Orilla muelle Victoria Regia (Leticia)",-4.223002,-69.94589,2,2
NULL,-3.78083,-70.365734,2,2
"Omshanty Jungle Lodge, Via Tarapaca Km Once, Leticia",-4.120961,-69.950874,2,2
NULL,-3.76489,-70.310749,1,0
NULL,-4.010307,-70.133601,1,0
NULL,-3.864719,-70.205104,1,0
NULL,-4.1847,-69.973747,1,0
NULL,-3.804909,-70.305673,1,0
NULL,-3.777943,-70.352873,1,0
NULL,-4.008367,-70.127742,1,0
NULL,-3.783462,-70.30399,1,0
NULL,-3.865265,-70.20615,1,0
NULL,-3.837213,-70.24967,1,0
NULL,-4.011613,-70.136984,1,0
NULL,-3.805733,-70.305028,1,0
NULL,-3.786117,-70.379793,1,0
NULL,-3.786368,-70.361624,1,0
NULL,-3.864608,-70.206299,1,0
NULL,-3.774575,-70.374207,1,0
"PNN Amacayacu, bosque barsa, quebrada Mamamaca",-3.808333,-70.255,1,0
NULL,-3.799,-70.417778,1,0
NULL,-3.802406,-70.304556,1,0
